product,category,electricity,water,gas,component_1,manu_year_1,mass_kg_1,no_uses_1,biogenic_1,manu_loc_1,debark_port_1,depart_loc_uk_1,reprocessing_1,recycle_1,incinerate_1,landfill_1,component_2,manu_year_2,mass_kg_2,no_uses_2,biogenic_2,manu_loc_2,debark_port_2,depart_loc_uk_2,reprocessing_2,recycle_2,incinerate_2,landfill_2,component_3,manu_year_3,mass_kg_3,no_uses_3,biogenic_3,manu_loc_3,debark_port_3,depart_loc_uk_3,reprocessing_3,recycle_3,incinerate_3,landfill_3,component_4,manu_year_4,mass_kg_4,no_uses_4,biogenic_4,manu_loc_4,debark_port_4,depart_loc_uk_4,reprocessing_4,recycle_4,incinerate_4,landfill_4,component_5,manu_year_5,mass_kg_5,no_uses_5,biogenic_5,manu_loc_5,debark_port_5,depart_loc_uk_5,reprocessing_5,recycle_5,incinerate_5,landfill_5,component_6,manu_year_6,mass_kg_6,no_uses_6,biogenic_6,manu_loc_6,debark_port_6,depart_loc_uk_6,reprocessing_6,recycle_6,incinerate_6,landfill_6
waters circuit,anaesthesia drugs,0,0,0,silicone,2022,0.1,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,pvc,2022,0.2,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.3,500,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.01,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.01,500,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
magill forceps,anaesthesia drugs,0,0,0,steel,2022,0.2,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.0075,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.004,500,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.0075,500,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
laryngoscope blade,anaesthesia drugs,0,0,0,steel,2022,0.105,1000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,working with steel,2022,0.105,1000,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.005,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.005,500,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
laryngoscope handle,anaesthesia drugs,0,0,0,steel,2022,0.199,1000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,working with steel,2022,0.199,1000,0,shanghai (china),0,0,0,0,1,0,li ion battery,2022,0.142,500,1,shanghai (china),shanghai (china),felixstowe,0,0,0,0,electronics,2022,0.02,1000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
spare batteries for laryngoscope,anaesthesia drugs,0,0,0,li ion battery,2022,0.142,500,1,shanghai (china),shanghai (china),felixstowe,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
sharps bin,anaesthesia drugs,0,0,0,ldpe,2022,0.622,100,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.622,100,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
saline flush (10ml),anaesthesia drugs,0,0,0,ldpe,2022,0.0036,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,saline,2022,0.0001,500,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,injection moulding,2022,0.0036,500,0,shanghai (china),0,0,0,0,0,0,cardboard,2022,0.0011099999999999,500,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
blue needles,anaesthesia drugs,0,0,0,ldpe,2022,0.0025,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.0002,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.0027,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.00029,500,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.0052,500,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.0002,500,0,shanghai (china),0,0,0,0,0,0
green needles,anaesthesia drugs,0,0,0,ldpe,2022,0.0025,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.0004,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.0027,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.00029,500,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.0052,500,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.0004,500,0,shanghai (china),0,0,0,0,0,0
red drawing up needles,anaesthesia drugs,0,0,0,ldpe,2022,0.0016,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.0006,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.00023,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.00011,500,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.00183,500,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.0006,500,0,shanghai (china),0,0,0,0,0,0
swan lock connectors,anaesthesia drugs,0,0,0,polypropylene,2022,0.005,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.005,500,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.003,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.003,500,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
blood gas syringe,anaesthesia drugs,0,0,0,polypropylene,2022,0.0021,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.0021,500,0,shanghai (china),0,0,0,0,0,0,ldpe,2022,0.004,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.0021,500,0,shanghai (china),0,0,0,0,0,0,heparin highint,2022,1.25e-06,500,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
normal saline,anaesthesia drugs,0,0,0,pvc,2022,0.15,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,saline,2022,0.01,500,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,blow moulding,2022,0.15,500,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
10% glucose,anaesthesia drugs,0,0,0,pvc,2022,0.15,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.15,500,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
iv giving set,anaesthesia drugs,0,0,0,pvc,2022,0.049,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.049,500,0,shanghai (china),0,0,0,0,0,0,paper,2022,0.002,500,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe film,2022,0.003,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.003,500,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
"adrenaline (1:10,000)",anaesthesia drugs,0,0,0,polypropylene,2022,0.01,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.015,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,adrenaline highint,2022,1e-06,500,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,injection moulding,2022,0.01,500,0,shanghai (china),0,0,0,0,0,0,blow moulding,2022,0.015,500,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
amiodarone (30mg),anaesthesia drugs,0,0,0,polypropylene,2022,0.01,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.015,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,amiodarone highint,2022,3e-05,500,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,injection moulding,2022,0.01,500,0,shanghai (china),0,0,0,0,0,0,blow moulding,2022,0.015,500,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
calcium chloride 10%,anaesthesia drugs,0,0,0,polypropylene,2022,0.01,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.015,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,calcium chloride highint,2022,0.005,500,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,injection moulding,2022,0.01,500,0,shanghai (china),0,0,0,0,0,0,blow moulding,2022,0.015,500,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
"adrenaline (1:1,000)",anaesthesia drugs,0,0,0,polypropylene,2022,0.01,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,ldpe,2022,0.015,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,adrenaline highint,2022,1e-06,250,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,injection moulding,2022,0.01,500,0,shanghai (china),0,0,0,0,0,0,blow moulding,2022,0.015,500,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
ng tube,anaesthesia drugs,0,0,0,pvc,2022,0.1,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.1,500,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.004,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.004,500,0,shanghai (china),0,0,0,0,0,0,paper,2022,0.002,500,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
clinical waste bag,anaesthesia drugs,0,0,0,ldpe,2022,0.008,6,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.008,6,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
tamper tags,anaesthesia drugs,0,0,0,ldpe,2022,0.002,20,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.002,20,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
telemetry stickers,monitoring tests,0,0,0,polyurethane,2022,0.01,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.005,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.01,1,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.005,1,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
dalteparin (5000 units),monitoring tests,0,0,0,dalteparin,2022,3.2e-05,1,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,polypropylene,2022,0.0021,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.0021,1,0,shanghai (china),0,0,0,0,0,0,ldpe,2022,0.0008,1,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,paper,2022,0.0003,1,1,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.0008,1,0,shanghai (china),0,0,0,0,0,0
nrb mask,anaesthesia drugs,0,0,0,pvc,2022,0.069,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.069,500,0,shanghai (china),0,0,0,0,0,0,ldpe film,2022,0.004,500,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,blow moulding,2022,0.004,500,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
pulp urinal bottle,monitoring tests,0,0,0,pulp,2022,0.041,1,1,shanghai (china),shanghai (china),felixstowe,0,0,0,0,cardboard,2022,0.0123,1,1,shanghai (china),shanghai (china),felixstowe,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
old anaesthetic monitor,monitoring tests,0,0,0,hdpe,2022,3.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,3.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,0,0,electronics,2022,1.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,3.0,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,3.0,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
anaesthetic machine,anaesthesia drugs,0,0,0,hdpe,2022,40.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,50.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,20.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,40.0,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,50.0,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
tiva infusion pump,anaesthesia drugs,0,0,0,hdpe,2022,1.0,1000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,1.2,1000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,0.4,1000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,1.0,1000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,1.2,1000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
ivi infuser,anaesthesia drugs,0,0,0,hdpe,2022,1.2,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.5,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,0.2,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,1.2,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.5,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
weighing scales,monitoring tests,0,0,0,hdpe,2022,1.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,4.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,0.4,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,1.0,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,4.0,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
desktop computer,it,0,0,0,hdpe,2022,4.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,2.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,5.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,4.0,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,2.0,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
label printer (bloods),it,0,0,0,hdpe,2022,0.6,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.3,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,0.1,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.6,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.3,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
printer,it,0,0,0,hdpe,2022,3.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,1.5,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,0.3,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,3.0,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,1.5,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
fridge,fixtures/fittings,0,0,0,hdpe,2022,3.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,2.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,0.5,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,3.0,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,2.0,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
dishwasher,fixtures/fittings,0,0,0,hdpe,2022,3.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,2.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,0.5,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,3.0,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,2.0,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
water boiler,nutrition,0,0,0,hdpe,2022,0.5,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,3.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,0.5,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.5,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,3.0,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
toaster,nutrition,0,0,0,hdpe,2022,0.25,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.5,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,0.1,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.25,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.5,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
microwave,nutrition,0,0,0,hdpe,2022,0.25,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.75,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,0.2,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.25,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.75,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
cd fridge,anaesthesia drugs,0,0,0,hdpe,2022,3.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,2.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,0.5,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,3.0,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,2.0,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
cow (laptop),it,0,0,0,hdpe,2022,0.6,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.4,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,0.4,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.6,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.4,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
cow stand,it,0,0,0,hdpe,2022,1.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,5.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,1.0,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,5.0,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
barcode scanner,it,0,0,0,hdpe,2022,0.3,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,0.1,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.3,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
ipad,it,0,0,0,steel,2022,0.3,400,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,working with steel,2022,0.3,400,0,shanghai (china),0,0,0,0,0,0,glass,2022,0.2,400,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,0.3,400,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
ipad case,it,0,0,0,hdpe,2022,0.2,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,polyurethane,2022,0.05,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.2,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
name band printer,it,0,0,0,hdpe,2022,0.6,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.3,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,0.1,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.6,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.3,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
electronic whiteboard,it,0,0,0,hdpe,2022,3.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,2.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,1.25,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,3.0,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,2.0,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
phone,it,0,0,0,hdpe,2022,0.2,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.09,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,0.1,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.2,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.09,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
ipad chargers,it,0,0,0,hdpe,2022,0.01,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,polyurethane,2022,0.005,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.01,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.01,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.01,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
fridge (for muscle relaxants),anaesthesia drugs,0,0,0,hdpe,2022,3.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,2.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,0.5,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,3.0,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,2.0,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
desktop (connected to gas machine),it,0,0,0,hdpe,2022,4.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,2.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,5.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,4.0,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,2.0,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
label printer,it,0,0,0,hdpe,2022,0.6,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.2,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,0.1,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.6,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.2,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
portable phone,it,0,0,0,hdpe,2022,0.2,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,0.09,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,0.1,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,0.2,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,0.09,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
irrigation warmer,surgical equipment,0,0,0,hdpe,2022,6.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,30.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,3.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,6.0,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,30.0,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
cow (desktop),it,0,0,0,hdpe,2022,4.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,steel production,2022,2.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,electronics,2022,5.0,10000,0,shanghai (china),shanghai (china),felixstowe,0,0,1,0,injection moulding,2022,4.0,10000,0,shanghai (china),0,0,0,0,0,0,working with steel,2022,2.0,10000,0,shanghai (china),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
